"code","title","cnt_vote","cnt_review_before","cnt_review_after","director_weight","distributor_weight","total"
92176,"슈퍼배드 2",1081,371,956,18.414919879428,212.601759777925,963763
112268,"허삼관",5524,788,5094,18.2685578731293,358.482932798446,956103
79435,"크루즈 패밀리",2105,336,1955,18.0335952632789,696.286931730838,943806
37853,"범죄의 재구성",1931,1,1899,146.678958382277,873.539505936061,942303
101242,"뽀로로 극장판 슈퍼썰매 대모험",639,154,603,13.1507695707713,696.286931730838,931503
127338,"애나벨",3854,128,3663,17.693886371636,478.270420973647,926027
39715,"형사; Duelist",5601,341,5588,3.52879943624768,204.729784645313,922560
118967,"갓 오브 이집트",4122,129,3953,8.78867543931571,168.938189793636,919835
44728,"오만과 편견",4143,4,4032,8.15350382042333,277.953532194937,885052
122596,"몬스터 호텔",5334,451,5245,22.9280573085065,529.352914654731,884988
122916,"살인의뢰",4068,260,3819,16.3554765210874,61.6709806064387,855980
100644,"헝거게임: 모킹제이",5208,439,4873,17.7597046907435,305.318616119918,854377
136893,"좋아해줘",3443,365,3211,16.2053503744179,696.286931730838,848123
137915,"미 비포 유",4791,354,4609,15.7850659500647,478.270420973647,826127
114286,"인시디어스 3",2835,181,2699,15.7734104900331,212.601759777925,825517
118922,"카트",5082,8787,4721,15.5614530832614,43.3890685086114,814424
36956,"아라한 장풍대작전",1711,8,1700,102.1821188,140.958593364516,810430
114225,"하트 오브 더 씨",2329,129,2118,15.4736167721707,478.270420973647,809827
76439,"킹스 스피치",1805,102,1719,43.7088158402701,92.1989379653438,808908
100643,"헝거게임: 더 파이널",3329,298,3068,17.7597046907435,305.318616119918,806709
117774,"상의원",4674,526,4253,15.1018458117852,1072.29229321307,790370
97612,"그랜드 부다페스트 호텔",5777,84,4980,5.31483882158651,394.608711052219,778493
62249,"데자뷰",3646,3,3632,14.8724434295891,760.094997199678,778364
103324,"리오 2",2337,1655,2258,14.6354554447168,394.608711052219,765961
65808,"모던보이",2439,121,2430,8.72202531524638,581.60000686655,762368
118370,"안녕, 헤이즐",4389,297,3821,14.3141660013862,394.608711052219,749146
127865,"런던 해즈 폴른",2251,169,2096,6.99816749072104,118.984977735045,731532
68086,"시간 여행자의 아내",2847,238,2731,7.10099667225681,358.482932798446,728653
101963,"신데렐라",2263,169,1958,6.84780250265742,949.797434244477,716491
125421,"픽셀",3521,236,3249,13.0301355594441,212.601759777925,681945
133457,"앵그리버드 더 무비",2318,84,2262,12.9575086683291,212.601759777925,678144
128258,"열정같은소리하고있네",3308,444,3020,12.503958414607,358.482932798446,654407
62285,"그날의 분위기",2839,285,2645,12.4813926796933,873.539505936061,653226
124031,"널 기다리며",3977,742,3819,12.136448384692,358.482932798446,635173
130786,"조선마술사",4961,408,4801,31.191931329415,305.318616119918,628568
129783,"눈의 여왕 2: 트롤의 마법거울",2266,114,2241,11.8216745345922,61.6709806064387,618699
136007,"특종: 량첸살인기",4039,277,3772,11.7792945176248,305.318616119918,616481
125484,"서부전선",4279,1103,4133,11.6375564807158,305.318616119918,609063
79312,"헝거게임: 판엠의 불꽃",4438,409,4183,11.6214872317213,305.318616119918,608222
107961,"우는 남자",3918,381,3623,64.7926832084461,696.286931730838,603409
109937,"패션왕",5603,2228,5340,11.3664810520788,358.482932798446,594876
95333,"더 울프 오브 월스트리트",3996,167,3548,2.81838099537469,69.7072837209751,585835
61273,"레터스 투 줄리엣",2843,76,2729,11.1410147760574,358.482932798446,583076
114265,"어린왕자",3316,230,3109,11.0655600028363,61.6709806064387,579127
39360,"콜래트럴",1685,4,1672,4.63352304535585,277.953532194937,576532
57805,"천하장사 마돈나",3005,255,2989,10.993831155363,581.60000686655,575373
116254,"채피",4010,258,3696,10.9611194380284,212.601759777925,573661
118931,"스텝 업: 올 인",2202,316,2047,10.796395305352,27.9795964291203,565040
69776,"뱅크 잡",1547,28,1531,7.73375121624099,154.323241359253,557063
146560,"싱 스트리트",3900,352,3650,26.8409130695413,72.319978337612,554824
134845,"극장판 요괴워치: 탄생의 비밀이다냥!",2014,175,1981,10.52738346636,696.286931730838,550961
123470,"헬머니",1701,270,1544,10.0097663970871,358.482932798446,523871
127901,"도라에몽 : 스탠 바이 미",1745,202,1665,9.62951179038345,358.482932798446,503970
90901,"노예 12년",2298,791,1913,3.3468112106961,65.028689224679,498954
38444,"이터널 선샤인",8538,133,8113,2.29979423004174,347.789295652658,495424
120165,"해어화",5309,2072,5088,6.46899527480199,305.318616119918,485662
76651,"넛잡: 땅콩 도둑들",1391,405,1335,9.15672047395341,154.323241359253,479226
132998,"계춘할망",2553,466,2442,31.7249297844674,138.294653045009,478923
136821,"로봇, 소리",3870,830,3717,4.83507652100095,305.318616119918,476653
103381,"위험한 상견례 2",2081,366,1963,9.03189240774595,320.078825235897,472693
134136,"명탐정 코난 : 화염의 해바라기",1995,366,1903,8.30987487341034,696.286931730838,471205
118974,"마담 뺑덕",2558,285,2313,9.00283018691302,696.286931730838,471172
112041,"순수의 시대",3111,296,2878,8.97867854514259,696.286931730838,469908
73372,"세 얼간이",25176,6091,24881,4.82213131744124,147.936264155451,459393
45938,"퍼블릭 에너미",2965,117,2947,4.63352304535585,0.379046909953879,456742
82389,"클라우드 아틀라스",6080,1328,5668,8.65717892138523,358.482932798446,453082
45298,"더 리더: 책 읽어주는 남자",2409,25,2330,3.17618928786168,130.152437423897,450726
38855,"신화 : 진시황릉의 비밀",2891,313,2886,4.29186520793726,143.474206099687,449232
136842,"빅쇼트",2713,106,2429,8.53546534695671,305.318616119918,446712
143253,"뽀로로 극장판 컴퓨터 왕국 대모험",2553,161,2521,13.1507695707713,358.482932798446,445014
94195,"헌츠맨: 윈터스 워",2127,159,2038,8.50135879588059,212.601759777925,444927
79826,"익스펜더블 2",1705,81,1605,4.2758628345332,305.318616119918,444456
76667,"울지마, 톤즈",4522,185,4488,8.48989440896424,5.91803519045678,444327
120141,"오피스",2661,259,2421,8.43029870431078,43.3890685086114,441208
71073,"파라노말 액티비티",6939,267,6900,8.38088719670133,358.482932798446,438622
37739,"인어 공주",1184,2,1172,6.46899527480199,581.60000686655,437250
98149,"협녀, 칼의 기억",4623,1249,4372,6.46899527480199,305.318616119918,431310
107374,"나를 잊지 말아요",3514,246,3328,8.16098114833432,696.286931730838,427113
103222,"신이 보낸 사람",3807,1539,3652,8.11527645916116,20.6782443064358,424721
110652,"다이버전트",4940,161,4628,8.10314331634136,305.318616119918,424086
57950,"마이애미 바이스",1008,0,1005,4.63352304535585,277.953532194937,420845
44911,"무뢰한",3190,203,2892,7.92267475896658,115.082362865515,414641
124042,"주온 : 끝의 시작",2853,542,2758,3.04694106358758,358.482932798446,410644
116799,"좋은 친구들",2289,192,2107,7.78116600979583,696.286931730838,407235
142691,"나의 소녀시대",2537,374,2323,7.75458773946144,8.26097921183496,405844
93931,"닌자터틀",1821,313,1589,7.64923002370024,696.286931730838,400330
118968,"판타스틱 4",2611,1504,2446,7.63656187615768,394.608711052219,399667
123420,"명탐정 코난 : 이차원의 저격수",1801,567,1714,8.30987487341034,696.286931730838,398606
46532,"아스트로 보이-아톰의 귀환",980,177,976,7.54905038936291,114.086021317818,395087
92068,"론 레인저",1866,215,1682,7.41262418505842,529.352914654731,387947
54977,"내 심장을 쏴라",2224,421,2047,7.40234445145676,115.709046846223,387409
100828,"나의 독재자",2624,980,2431,7.37683619056789,305.318616119918,386074
94897,"소수의견",3705,1147,3366,7.32922077024201,140.958593364516,383582
65721,"명장",1631,104,1622,3.63622647384729,312.793888306875,380515
18847,"타이타닉",16975,210,16860,2.35702699716966,394.608711052219,369894
115303,"그레이의 50가지 그림자",3184,334,2885,6.96299093019939,212.601759777925,364415
74610,"미드나잇 인 파리",2716,55,2267,5.18673703600405,27.9795964291203,361817
122197,"홈",783,86,714,6.8935549601094,696.286931730838,360781
134856,"클로버필드 10번지",3392,403,3216,6.83525855263979,305.318616119918,357730
112039,"경성학교: 사라진 소녀들",4192,228,3914,6.81013243798147,305.318616119918,356415
101950,"그녀",5252,377,4390,6.77931234448803,212.601759777925,354802
130787,"치외법권",3556,284,3356,3.31028440015986,46.0350488569518,346483
109984,"아메리칸 스나이퍼",2764,101,2435,3.74052373381873,478.270420973647,345759
105246,"숲속으로",2132,158,1955,6.53244587955608,949.797434244477,341882
93005,"늑대아이",6337,134,5916,3.78400242119897,5.46642351418714,339578
